0.847,0.147,0.074
1.524,0.197,0.173
1.322,0.157,0.252
1.509,0.137,0.323
0.806,0.197,0.425
1.533,0.187,0.528
0.620,0.207,0.636
0.757,0.187,0.735
1.864,0.197,0.864
1.501,0.147,0.967
2.738,0.197,1.155
1.545,0.177,1.286
2.771,0.147,1.484
2.918,0.157,1.710
2.315,0.137,1.879
3.081,0.196,2.145
3.177,0.206,2.416
3.384,0.146,2.669
1.870,0.186,2.732
1.786,0.136,2.740
2.621,0.146,2.847
2.557,0.206,2.953
2.063,0.156,2.950
2.498,0.165,3.000
3.933,0.205,3.253
4.198,0.155,3.493
3.373,0.185,3.607
3.138,0.155,3.657
4.463,0.155,3.878
2.857,0.184,3.865
3.051,0.204,3.878
4.595,0.184,4.085
2.889,0.174,4.029
3.272,0.204,4.033
3.016,0.143,3.967
3.779,0.183,4.022
4.231,0.173,4.125
5.094,0.193,4.343
4.866,0.162,4.495
4.679,0.142,4.595
4.810,0.192,4.722
4.272,0.172,4.748
5.383,0.141,4.908
5.434,0.201,5.083
5.635,0.161,5.249
4.385,0.140,5.212
5.746,0.130,5.357
4.325,0.190,5.313
4.145,0.180,5.234
4.984,0.159,5.263
5.333,0.129,5.319
5.952,0.159,5.468
5.090,0.198,5.497
5.508,0.158,5.559
5.365,0.148,5.588
6.053,0.137,5.701
6.599,0.147,5.884
5.346,0.146,5.873
5.712,0.166,5.918
5.928,0.186,5.992
5.503,0.155,5.983
5.608,0.155,5.984
6.583,0.145,6.113
7.127,0.154,6.309
5.831,0.154,6.306
6.094,0.133,6.325
7.307,0.193,6.536
6.179,0.163,6.554
6.152,0.192,6.574
6.013,0.152,6.549
6.524,0.171,6.602
6.115,0.121,6.568
7.856,0.140,6.786
6.366,0.180,6.793
6.465,0.139,6.791
6.574,0.139,6.801
7.812,0.119,6.972
7.941,0.158,7.163
7.078,0.118,7.198
7.565,0.157,7.312
7.432,0.127,7.381
8.118,0.126,7.538
7.043,0.186,7.553
8.309,0.165,7.730
7.853,0.155,7.820
8.327,0.184,7.977
7.041,0.134,7.913
7.964,0.163,7.991
8.646,0.173,8.157
8.938,0.162,8.342
7.280,0.141,8.267
7.691,0.111,8.235
8.881,0.160,8.389
7.371,0.150,8.311
7.680,0.139,8.272
8.009,0.129,8.274
7.667,0.158,8.236
8.454,0.138,8.299
8.201,0.107,8.306
8.888,0.146,8.425
7.943,0.126,8.391
8.399,0.125,8.419
8.303,0.145,8.439
9.447,0.164,8.623
8.561,0.103,8.641
8.904,0.113,8.707
9.386,0.112,8.834
8.327,0.162,8.821
9.718,0.101,8.975
9.509,0.120,9.094
8.358,0.130,9.043
8.878,0.099,9.052
8.756,0.148,9.062
9.994,0.148,9.240
9.251,0.157,9.301
10.198,0.157,9.486
9.694,0.166,9.587
9.409,0.125,9.617
9.074,0.115,9.589
8.938,0.114,9.540
7.551,0.163,9.317
9.834,0.133,9.412
9.596,0.122,9.460
10.737,0.111,9.659
10.428,0.091,9.791
10.268,0.090,9.888
9.217,0.149,9.854
10.695,0.109,10.008
10.173,0.148,10.092
10.581,0.087,10.196
9.547,0.117,10.157
11.073,0.156,10.348
10.738,0.145,10.468
10.263,0.084,10.483
10.557,0.084,10.533
9.560,0.143,10.462
9.732,0.132,10.411
11.194,0.142,10.568
9.745,0.091,10.485
9.885,0.120,10.437
10.164,0.090,10.415
9.613,0.139,10.338
11.041,0.118,10.454
10.469,0.097,10.472
11.105,0.127,10.589
11.201,0.106,10.701
9.706,0.135,10.605
10.441,0.134,10.615
10.165,0.084,10.561
10.908,0.073,10.609
10.950,0.132,10.686
10.431,0.122,10.678
11.312,0.131,10.795
11.172,0.130,10.882
11.751,0.079,11.020
11.010,0.069,11.038
10.988,0.068,11.050
9.845,0.067,10.899
10.831,0.116,10.916
10.047,0.106,10.815
10.372,0.115,10.769
9.986,0.114,10.671
11.089,0.083,10.720
11.452,0.123,10.834
10.563,0.122,10.814
11.345,0.111,10.899
9.945,0.120,10.785
11.894,0.120,10.950
13.983,0.089,11.384
10.931,0.078,11.353
11.509,0.117,11.420
10.025,0.107,11.265
11.371,0.106,11.307
10.116,0.055,11.145
10.810,0.104,11.113
10.874,0.103,11.090
11.746,0.123,11.199
10.568,0.092,11.121
