0.230,0.100,0.050
1.917,0.187,0.144
1.294,0.177,0.232
2.122,0.207,0.336
1.869,0.207,0.440
1.336,0.207,0.544
2.423,0.207,0.649
1.890,0.167,0.734
1.207,0.207,0.839
1.784,0.207,0.945
1.451,0.147,1.020
1.918,0.207,1.127
2.185,0.187,1.226
2.041,0.167,1.315
2.418,0.137,1.391
1.485,0.147,1.468
3.271,0.166,1.569
3.067,0.136,1.656
2.684,0.206,1.776
2.040,0.176,1.873
3.666,0.186,1.999
3.751,0.146,2.111
2.107,0.146,2.193
2.113,0.206,2.302
3.538,0.205,2.444
4.103,0.135,2.567
4.168,0.155,2.704
4.113,0.135,2.833
2.648,0.205,2.945
3.383,0.165,3.059
4.207,0.164,3.203
3.911,0.184,3.343
4.285,0.174,3.491
4.739,0.144,3.642
3.112,0.194,3.735
3.906,0.173,3.852
3.189,0.193,3.934
4.081,0.183,4.052
5.064,0.153,4.204
3.546,0.172,4.274
4.149,0.202,4.386
5.230,0.162,4.535
4.672,0.142,4.635
3.773,0.161,4.683
3.844,0.141,4.720
5.085,0.141,4.830
5.135,0.200,4.965
4.516,0.150,5.028
4.285,0.150,5.071
4.695,0.200,5.159
4.464,0.169,5.210
4.933,0.189,5.296
5.572,0.179,5.412
4.650,0.148,5.447
4.928,0.188,5.513
4.685,0.138,5.535
5.173,0.147,5.590
5.639,0.177,5.684
5.006,0.126,5.707
5.722,0.126,5.774
5.658,0.196,5.865
6.273,0.145,5.966
6.038,0.185,6.065
5.783,0.185,6.139
5.957,0.124,6.192
6.611,0.124,6.283
5.904,0.173,6.345
7.197,0.143,6.474
6.639,0.173,6.573
7.392,0.182,6.719
6.643,0.182,6.808
6.884,0.161,6.897
6.875,0.141,6.970
7.016,0.190,7.070
7.526,0.150,7.178
11.235,0.179,7.539
7.464,0.179,7.636
7.142,0.129,7.680
6.861,0.148,7.711
6.368,0.118,7.691
6.645,0.147,7.701
7.742,0.127,7.771
7.818,0.156,7.856
7.443,0.126,7.895
6.719,0.185,7.911
8.033,0.145,7.991
6.827,0.174,7.999
8.261,0.184,8.104
7.274,0.173,8.131
8.976,0.153,8.259
9.048,0.132,8.375
8.500,0.181,8.471
7.251,0.161,8.468
7.591,0.140,8.476
7.731,0.120,8.480
8.200,0.109,8.509
7.989,0.119,8.525
8.207,0.118,8.554
9.274,0.118,8.650
8.441,0.157,8.705
8.248,0.176,8.751
8.893,0.116,8.808
9.499,0.105,8.897
8.513,0.145,8.934
8.787,0.134,8.980
9.491,0.153,9.080
8.504,0.173,9.116
9.616,0.172,9.223
8.127,0.162,9.219
9.038,0.131,9.259
8.949,0.110,9.281
-0.322,0.120,8.683
10.218,0.169,8.833
5.276,0.118,8.621
9.164,0.108,8.671
8.831,0.127,8.706
10.098,0.147,8.833
9.314,0.136,8.897
10.139,0.155,9.022
8.734,0.155,9.046
9.478,0.164,9.123
9.881,0.113,9.199
9.924,0.103,9.269
9.576,0.102,9.312
10.777,0.121,9.443
10.648,0.131,9.564
9.248,0.140,9.589
10.847,0.109,9.706
9.915,0.089,9.745
10.343,0.128,9.828
9.461,0.157,9.862
9.427,0.147,9.886
10.803,0.136,9.994
10.168,0.155,10.063
9.413,0.114,10.058
9.947,0.134,10.097
11.160,0.123,10.209
11.272,0.102,10.314
11.004,0.152,10.419
10.015,0.151,10.452
10.645,0.100,10.500
10.504,0.110,10.540
10.443,0.149,10.591
10.561,0.078,10.614
10.859,0.127,10.678
10.975,0.137,10.750
10.891,0.086,10.789
11.456,0.085,10.863
11.501,0.144,10.964
10.315,0.134,10.975
10.538,0.093,10.979
9.960,0.072,10.934
9.951,0.102,10.902
11.282,0.131,10.974
10.672,0.080,10.976
10.091,0.099,10.948
11.440,0.129,11.024
10.078,0.138,11.008
10.535,0.097,11.003
11.451,0.066,11.045
11.767,0.066,11.105
10.332,0.105,11.085
10.526,0.124,11.086
10.229,0.133,11.071
10.612,0.093,11.061
11.503,0.092,11.110
10.325,0.081,11.073
9.935,0.100,11.019
10.354,0.090,10.989
11.643,0.129,11.065
10.961,0.108,11.081
10.119,0.127,11.049
11.645,0.057,11.086
10.171,0.096,11.041
11.706,0.125,11.114
11.590,0.114,11.170
11.214,0.053,11.170
10.486,0.063,11.126
11.418,0.112,11.168
11.990,0.091,11.238
11.030,0.050,11.220
10.680,0.080,11.194
11.919,0.069,11.246
10.507,0.068,11.201
11.514,0.087,11.235
11.791,0.057,11.271
10.677,0.076,11.239
10.562,0.115,11.220
11.136,0.094,11.228
10.440,0.084,11.185
11.903,0.063,11.231
10.645,0.082,11.200
11.726,0.071,11.237
10.527,0.051,11.183
10.887,0.100,11.178
11.676,0.059,11.206
11.594,0.078,11.237
11.101,0.048,11.220
10.958,0.047,11.194
11.514,0.106,11.233
10.110,0.075,11.162
11.144,0.105,11.177
10.988,0.054,11.156
10.051,0.083,11.087
11.393,0.092,11.114
10.885,0.052,11.087
10.666,0.071,11.056
9.956,0.080,10.983
10.265,0.049,10.918
